Date,Workout_Split,Exercise,Sets,Reps,Weight_kg,RPE,Duration_min
2023-01-01,Chest/Triceps,Bench Press,4,7,60.0,9,51
2023-01-01,Chest/Triceps,Incline DB Press,3,8,20.0,7,51
2023-01-01,Chest/Triceps,Tricep Extension,3,10,17.5,6,51
2023-01-03,Back/Biceps,Deadlift,3,5,82.5,7,62
2023-01-03,Back/Biceps,Pull-ups,4,8,0,7,62
2023-01-03,Back/Biceps,Barbell Curl,3,12,25.0,8,62
2023-01-05,Legs/Shoulders,Squat,4,8,72.5,7,69
2023-01-05,Legs/Shoulders,Leg Press,3,15,122.5,10,69
2023-01-05,Legs/Shoulders,Overhead Press,4,7,37.5,7,69
2023-01-08,Chest/Triceps,Bench Press,4,8,60.0,7,56
2023-01-08,Chest/Triceps,Incline DB Press,3,8,20.0,7,56
2023-01-08,Chest/Triceps,Tricep Extension,3,11,17.5,6,56
2023-01-10,Back/Biceps,Deadlift,3,5,82.5,8,78
2023-01-10,Back/Biceps,Pull-ups,4,8,0,7,78
2023-01-10,Back/Biceps,Barbell Curl,3,10,27.5,9,78
2023-01-12,Legs/Shoulders,Squat,4,5,70.0,7,69
2023-01-12,Legs/Shoulders,Leg Press,3,15,120.0,7,69
2023-01-12,Legs/Shoulders,Overhead Press,4,10,35.0,9,69
2023-01-15,Chest/Triceps,Bench Press,4,5,60.0,8,76
2023-01-15,Chest/Triceps,Incline DB Press,3,10,20.0,9,76
2023-01-15,Chest/Triceps,Tricep Extension,3,11,17.5,9,76
2023-01-17,Back/Biceps,Deadlift,3,5,82.5,7,86
2023-01-17,Back/Biceps,Pull-ups,4,8,0,10,86
2023-01-17,Back/Biceps,Barbell Curl,3,11,22.5,7,86
2023-01-19,Legs/Shoulders,Squat,4,8,72.5,7,64
2023-01-19,Legs/Shoulders,Leg Press,3,13,122.5,10,64
2023-01-19,Legs/Shoulders,Overhead Press,4,8,35.0,9,64
2023-01-22,Chest/Triceps,Bench Press,4,6,65.0,8,45
2023-01-22,Chest/Triceps,Incline DB Press,3,9,25.0,9,45
2023-01-22,Chest/Triceps,Tricep Extension,3,13,15.0,9,45
2023-01-24,Back/Biceps,Deadlift,3,5,85.0,9,84
2023-01-24,Back/Biceps,Pull-ups,4,11,0,10,84
2023-01-24,Back/Biceps,Barbell Curl,3,10,27.5,7,84
2023-01-26,Legs/Shoulders,Squat,4,5,72.5,10,80
2023-01-26,Legs/Shoulders,Leg Press,3,13,125.0,9,80
2023-01-26,Legs/Shoulders,Overhead Press,4,6,35.0,9,80
2023-01-29,Chest/Triceps,Bench Press,4,6,62.5,10,74
2023-01-29,Chest/Triceps,Incline DB Press,3,12,22.5,9,74
2023-01-29,Chest/Triceps,Tricep Extension,3,12,17.5,6,74
2023-01-31,Back/Biceps,Deadlift,3,5,87.5,8,50
2023-01-31,Back/Biceps,Pull-ups,4,7,0,10,50
2023-01-31,Back/Biceps,Barbell Curl,3,9,25.0,7,50
2023-02-02,Legs/Shoulders,Squat,4,8,77.5,9,51
2023-02-02,Legs/Shoulders,Leg Press,3,14,127.5,7,51
2023-02-02,Legs/Shoulders,Overhead Press,4,10,37.5,9,51
2023-02-05,Chest/Triceps,Bench Press,4,7,67.5,6,60
2023-02-05,Chest/Triceps,Incline DB Press,3,12,22.5,8,60
2023-02-05,Chest/Triceps,Tricep Extension,3,12,17.5,9,60
2023-02-07,Back/Biceps,Deadlift,3,5,87.5,9,81
2023-02-07,Back/Biceps,Pull-ups,4,9,0,10,81
2023-02-07,Back/Biceps,Barbell Curl,3,8,30.0,9,81
2023-02-09,Legs/Shoulders,Squat,4,5,75.0,10,69
2023-02-09,Legs/Shoulders,Leg Press,3,15,130.0,7,69
2023-02-09,Legs/Shoulders,Overhead Press,4,7,37.5,10,69
2023-02-12,Chest/Triceps,Bench Press,4,7,67.5,10,51
2023-02-12,Chest/Triceps,Incline DB Press,3,11,25.0,6,51
2023-02-12,Chest/Triceps,Tricep Extension,3,10,15.0,7,51
2023-02-14,Back/Biceps,Deadlift,3,5,87.5,7,62
2023-02-14,Back/Biceps,Pull-ups,4,10,0,8,62
2023-02-14,Back/Biceps,Barbell Curl,3,9,27.5,10,62
2023-02-16,Legs/Shoulders,Squat,4,8,80.0,8,89
2023-02-16,Legs/Shoulders,Leg Press,3,10,135.0,9,89
2023-02-16,Legs/Shoulders,Overhead Press,4,8,35.0,10,89
2023-02-19,Chest/Triceps,Bench Press,4,5,67.5,8,75
2023-02-19,Chest/Triceps,Incline DB Press,3,12,25.0,10,75
2023-02-19,Chest/Triceps,Tricep Extension,3,15,17.5,6,75
2023-02-21,Back/Biceps,Deadlift,3,5,90.0,6,63
2023-02-21,Back/Biceps,Pull-ups,4,12,0,9,63
2023-02-21,Back/Biceps,Barbell Curl,3,8,27.5,10,63
2023-02-23,Legs/Shoulders,Squat,4,5,77.5,8,87
2023-02-23,Legs/Shoulders,Leg Press,3,12,132.5,7,87
2023-02-23,Legs/Shoulders,Overhead Press,4,9,40.0,7,87
2023-02-26,Chest/Triceps,Bench Press,4,5,67.5,9,58
2023-02-26,Chest/Triceps,Incline DB Press,3,12,25.0,7,58
